"Date","Price","Open","High","Low","Vol.","Change %"
"02/17/2026","68,005.1","68,889.4","69,174.4","66,649.2","52.47K","-1.29%"
"02/16/2026","68,890.7","68,818.7","70,076.0","67,315.0","52.19K","0.11%"
"02/15/2026","68,813.8","69,797.0","70,961.2","68,076.1","59.22K","-1.39%"
"02/14/2026","69,784.4","68,828.7","70,494.5","68,725.6","56.53K","1.31%"
"02/13/2026","68,883.4","66,234.1","69,405.5","65,871.0","70.10K","3.98%"
"02/12/2026","66,248.7","67,048.8","68,349.5","65,138.1","79.76K","-1.19%"
"02/11/2026","67,048.8","68,809.2","69,273.9","65,790.0","89.97K","-2.56%"
"02/10/2026","68,810.3","70,122.7","70,474.2","67,958.3","70.29K","-1.88%"
"02/09/2026","70,127.9","70,356.0","71,379.5","68,389.3","89.05K","-0.30%"
"02/08/2026","70,342.0","69,318.8","72,204.2","68,888.1","64.85K","1.48%"
"02/07/2026","69,319.5","70,556.0","71,570.4","67,397.4","113.64K","-1.75%"
"02/06/2026","70,555.7","62,863.8","71,696.0","60,187.0","234.06K","12.25%"
"02/05/2026","62,857.9","73,136.1","73,292.0","62,562.2","259.10K","-14.05%"
"02/04/2026","73,137.0","75,734.8","76,929.2","71,913.4","113.35K","-3.42%"
"02/03/2026","75,724.8","78,725.6","79,158.4","73,004.3","112.17K","-3.81%"
"02/02/2026","78,720.6","76,956.6","79,251.0","74,635.5","124.03K","2.27%"
"02/01/2026","76,976.1","78,720.6","79,355.0","75,766.8","76.61K","-2.22%"
"01/31/2026","78,726.5","84,227.7","84,240.8","75,993.4","105.81K","-6.54%"
"01/30/2026","84,235.5","84,657.0","84,705.1","81,201.5","109.59K","-0.51%"
"01/29/2026","84,667.1","89,261.5","89,304.7","83,405.7","95.05K","-5.14%"
"01/28/2026","89,253.2","89,224.5","90,520.9","88,820.7","50.90K","0.03%"
"01/27/2026","89,224.7","88,331.3","89,494.4","87,301.8","49.57K","1.01%"
"01/26/2026","88,331.3","86,644.3","88,810.8","86,520.8","65.76K","1.95%"
"01/25/2026","86,642.0","89,254.7","89,298.8","86,092.1","48.59K","-2.93%"
"01/24/2026","89,254.9","89,576.8","89,901.9","89,142.1","16.96K","-0.36%"
"01/23/2026","89,580.6","89,529.5","91,185.7","88,587.5","49.44K","0.07%"
"01/22/2026","89,520.5","89,433.1","90,330.6","88,536.1","41.98K","0.10%"
"01/21/2026","89,433.8","88,400.0","90,498.2","87,285.1","73.67K","1.17%"
"01/20/2026","88,400.3","92,617.8","92,857.5","87,911.4","72.37K","-4.55%"
"01/19/2026","92,617.8","92,886.3","93,386.9","92,083.1","49.95K","-1.13%"
"01/18/2026","93,671.6","95,141.4","95,522.6","93,618.7","25.30K","-1.54%"
"01/17/2026","95,141.4","95,547.1","95,628.4","95,037.6","17.34K","-0.43%"
"01/16/2026","95,549.6","95,585.7","95,839.4","94,288.8","43.13K","-0.04%"
